service_id,date,exception_type
p.319,20111215,1
A.319,20111215,1
P.319,20111216,1
W.319,20111216,1
A.319,20111216,1
7.319,20111216,1
S.319,20111217,1
8.319,20111217,1
B.319,20111217,1
V.319,20111218,1
C.319,20111218,1
U.319,20111218,1
W.319,20111219,1
7.319,20111219,1
p.319,20111219,1
A.319,20111219,1
A.319,20111220,1
W.319,20111220,1
p.319,20111220,1
7.319,20111220,1
A.319,20111221,1
7.319,20111221,1
W.319,20111221,1
p.319,20111221,1
p.319,20111222,1
W.319,20111222,1
7.319,20111222,1
A.319,20111222,1
7.319,20111223,1
P.319,20111223,1
A.319,20111223,1
W.319,20111223,1
8.319,20111224,1
B.319,20111224,1
S.319,20111224,1
U.319,20111225,1
C.319,20111225,1
